id;estimation_no;estimation_name;estimation_date;work_period_start;work_period_end;delivery_items;delivery_date;acceptance_date;payments_terms;estimate_expiration_date;total_amount;client_sales_staff;accuracy;mail_send_date;post_send_date;send_flag;confirm_flag;update_count
1;67312;Metal platforms Pula;2022-11-20;2022-11-20;2022-11-20;Cambridgeshire;navigating neural-net invoice;Pennsylvania Mobility Rubber;D;2022-11-20;597589805;grey Handmade Unbranded;A;2022-11-20;2022-11-20;NOT_SENT;false;96069
2;56241;hacking;2022-11-20;2022-11-20;2022-11-21;Planner;bandwidth;contingency Orchestrator laven;B;2022-11-20;983536875;payment Generic overriding;D;2022-11-21;2022-11-20;POST_SENT;false;71737
3;50269;optical Pound;2022-11-20;2022-11-20;2022-11-20;Uruguay withdrawal Rustic;New;JSON Bedfordshire;C;2022-11-20;906291485;Computer Assistant Director;A;2022-11-20;2022-11-20;MAIL_SENT;true;98198
4;13348;Rubber;2022-11-20;2022-11-20;2022-11-20;Station Exclusive Automotive;AI TCP Lead;transition Arizona;C;2022-11-20;913735589;Account;C;2022-11-20;2022-11-20;NOT_SENT;true;47567
5;19101;Handcrafted value-added Supervisor;2022-11-20;2022-11-20;2022-11-20;e-business;Buckinghamshire;JSON Berkshire Data;B;2022-11-20;236154267;ROI;A;2022-11-20;2022-11-20;NOT_SENT;true;84370
6;4162;Chief;2022-11-20;2022-11-20;2022-11-20;Triple-buffered generate;AGP;Metal impactful;B;2022-11-20;264467172;Senior;E;2022-11-21;2022-11-20;POST_SENT;false;94920
7;91871;multi-byte Principal;2022-11-20;2022-11-20;2022-11-20;Home Dirham;Generic target;Republic extranet;B;2022-11-20;204879135;product indigo;C;2022-11-20;2022-11-20;MAIL_SENT;false;14939
8;4926;Forward;2022-11-21;2022-11-20;2022-11-20;Bike;Unbranded;Strategist scalable;B;2022-11-20;319737537;Metal capacity Chief;E;2022-11-20;2022-11-20;POST_SENT;false;58418
9;61537;Rubber;2022-11-20;2022-11-20;2022-11-21;Island time-frame e-commerce;Accountability;Idaho;C;2022-11-20;754016460;Product Hampshire;C;2022-11-20;2022-11-20;POST_SENT;true;90784
10;84629;Pa'anga;2022-11-20;2022-11-20;2022-11-21;solid neural-net Station;Rustic Garden;auxiliary;C;2022-11-20;213863010;Berkshire Inlet Fantastic;E;2022-11-20;2022-11-20;POST_SENT;true;74063
